"move.count","my.x","my.y","next.x","next.y","visits","utility"
2,"5","4","4","6",75,0.493333333333333
2,"5","4","6","2",88,0.454545454545455
2,"5","4","6","6",34,0.470588235294118
2,"5","5","3","4",108,0.509259259259259
2,"5","5","3","6",134,0.552238805970149
2,"5","5","4","3",96,0.583333333333333
2,"5","5","6","3",166,0.439759036144578
2,"5","6","3","5",140,0.55
2,"5","6","4","4",130,0.507692307692308
2,"5","6","6","4",122,0.524590163934426
2,"6","0","4","1",213,0.544600938967136
2,"6","0","5","2",243,0.522633744855967
2,"6","1","4","0",147,0.469387755102041
2,"6","1","4","2",170,0.417647058823529
2,"6","1","5","3",187,0.406417112299465
2,"6","2","4","1",110,0.590909090909091
2,"6","2","4","3",84,0.476190476190476
2,"6","2","5","0",84,0.547619047619048
2,"6","2","5","4",90,0.533333333333333
2,"6","3","4","2",117,0.358974358974359
2,"6","3","4","4",100,0.39
2,"6","3","5","1",140,0.414285714285714
2,"6","3","5","5",115,0.408695652173913
2,"6","4","4","3",121,0.59504132231405
2,"6","4","4","5",125,0.496
2,"6","4","5","2",132,0.507575757575758
2,"6","4","5","6",132,0.598484848484849
2,"6","5","4","4",126,0.420634920634921
2,"6","5","4","6",126,0.428571428571429
2,"6","5","5","3",180,0.477777777777778
2,"6","6","4","5",219,0.442922374429224
2,"6","6","5","4",245,0.518367346938776
3,"0","0","1","2",219,0.479452054794521
3,"0","0","2","1",221,0.493212669683258
3,"0","1","1","3",178,0.629213483146067
3,"0","1","2","0",141,0.524822695035461
3,"0","1","2","2",145,0.43448275862069
3,"0","2","1","0",118,0.542372881355932
3,"0","2","1","4",114,0.5
3,"0","2","2","1",121,0.487603305785124
3,"0","2","2","3",159,0.484276729559748
3,"0","3","1","1",120,0.475
3,"0","3","1","5",110,0.554545454545455
3,"0","3","2","2",106,0.424528301886792
3,"0","3","2","4",112,0.517857142857143
3,"0","4","1","2",143,0.440559440559441
3,"0","4","1","6",113,0.539823008849557
3,"0","4","2","3",119,0.46218487394958
3,"0","4","2","5",121,0.380165289256198
3,"0","5","1","3",152,0.552631578947368
3,"0","5","2","4",149,0.523489932885906
3,"0","5","2","6",123,0.495934959349593
3,"0","6","1","4",258,0.449612403100775
3,"0","6","2","5",222,0.441441441441441
3,"1","0","0","2",130,0.553846153846154
3,"1","0","2","2",166,0.572289156626506
3,"1","0","3","1",192,0.536458333333333
3,"1","1","0","3",148,0.405405405405405
3,"1","1","2","3",120,0.35
3,"1","1","3","0",106,0.490566037735849
3,"1","1","3","2",106,0.471698113207547
3,"1","2","0","0",26,0.692307692307692
3,"1","2","0","4",77,0.623376623376623
3,"1","2","2","0",49,0.408163265306122
3,"1","2","2","4",74,0.5
3,"1","2","3","1",85,0.376470588235294
3,"1","2","3","3",41,0.536585365853659
3,"1","3","0","1",80,0.4625
3,"1","3","0","5",66,0.53030303030303
3,"1","3","2","1",96,0.385416666666667
3,"1","3","2","5",84,0.404761904761905
3,"1","3","3","2",97,0.515463917525773
3,"1","3","3","4",97,0.484536082474227
3,"1","4","0","2",66,0.545454545454545
3,"1","4","0","6",43,0.441860465116279
3,"1","4","2","2",95,0.4
3,"1","4","2","6",83,0.506024096385542
3,"1","4","3","3",61,0.573770491803279
3,"1","4","3","5",92,0.521739130434783
3,"1","5","0","3",105,0.523809523809524
3,"1","5","2","3",135,0.466666666666667
3,"1","5","3","4",83,0.55421686746988
3,"1","5","3","6",109,0.504587155963303
3,"1","6","0","4",143,0.510489510489511
3,"1","6","2","4",152,0.401315789473684
3,"1","6","3","5",185,0.486486486486487
3,"2","0","0","1",67,0.417910447761194
3,"2","0","1","2",84,0.5
3,"2","0","3","2",66,0.484848484848485
3,"2","0","4","1",71,0.464788732394366
3,"2","1","0","0",64,0.53125
3,"2","1","0","2",72,0.583333333333333
3,"2","1","1","3",108,0.546296296296296
3,"2","1","3","3",60,0.633333333333333
3,"2","1","4","0",106,0.566037735849057
3,"2","1","4","2",86,0.465116279069767
3,"2","2","0","1",35,0.485714285714286
3,"2","2","0","3",49,0.469387755102041
3,"2","2","1","0",26,0.538461538461538
3,"2","2","1","4",66,0.484848484848485
3,"2","2","3","0",40,0.375
3,"2","2","3","4",55,0.563636363636364
3,"2","2","4","1",59,0.389830508474576
3,"2","2","4","3",46,0.543478260869565
3,"2","3","0","2",38,0.473684210526316
3,"2","3","0","4",36,0.527777777777778
3,"2","3","1","1",50,0.48
3,"2","3","1","5",65,0.507692307692308
3,"2","3","3","1",86,0.5
3,"2","3","3","5",80,0.4625
3,"2","3","4","2",65,0.384615384615385
3,"2","3","4","4",52,0.480769230769231
3,"2","4","0","3",52,0.442307692307692
3,"2","4","0","5",27,0.62962962962963
3,"2","4","1","2",39,0.461538461538462
3,"2","4","1","6",40,0.5
3,"2","4","3","2",53,0.566037735849057
3,"2","4","3","6",58,0.551724137931034
3,"2","4","4","3",51,0.411764705882353
3,"2","4","4","5",48,0.5
3,"2","5","0","4",64,0.453125
3,"2","5","0","6",46,0.543478260869565
3,"2","5","1","3",106,0.462264150943396
3,"2","5","3","3",51,0.450980392156863
3,"2","5","4","4",61,0.409836065573771
3,"2","5","4","6",96,0.46875
3,"2","6","0","5",117,0.521367521367521
3,"2","6","1","4",137,0.496350364963504
3,"2","6","3","4",108,0.537037037037037
3,"2","6","4","5",126,0.452380952380952
3,"3","0","1","1",75,0.52
3,"3","0","2","2",71,0.633802816901408
3,"3","0","4","2",86,0.465116279069767
3,"3","0","5","1",72,0.513888888888889
3,"3","1","1","0",69,0.565217391304348
3,"3","1","1","2",79,0.544303797468354
3,"3","1","2","3",105,0.504761904761905
3,"3","1","4","3",91,0.549450549450549
3,"3","1","5","0",65,0.569230769230769
3,"3","1","5","2",63,0.571428571428571
3,"3","2","1","1",57,0.526315789473684
3,"3","2","1","3",59,0.525423728813559
3,"3","2","2","0",39,0.435897435897436
3,"3","2","2","4",69,0.521739130434783
3,"3","2","4","0",42,0.452380952380952
3,"3","2","4","4",59,0.457627118644068
3,"3","2","5","1",75,0.56
3,"3","2","5","3",72,0.611111111111111
3,"3","3","1","2",45,0.466666666666667
3,"3","3","1","4",48,0.666666666666667
3,"3","3","2","1",51,0.431372549019608
3,"3","3","2","5",53,0.509433962264151
3,"3","3","4","1",55,0.472727272727273
3,"3","3","4","5",56,0.446428571428571
3,"3","3","5","2",59,0.542372881355932
3,"3","3","5","4",41,0.536585365853659
3,"3","4","1","3",60,0.5
3,"3","4","1","5",61,0.508196721311475
3,"3","4","2","2",57,0.508771929824561
3,"3","4","2","6",42,0.404761904761905
3,"3","4","4","2",54,0.462962962962963
3,"3","4","4","6",39,0.41025641025641
3,"3","4","5","3",67,0.641791044776119
3,"3","4","5","5",68,0.544117647058823
3,"3","5","1","4",71,0.47887323943662
3,"3","5","1","6",60,0.533333333333333
3,"3","5","2","3",82,0.548780487804878
3,"3","5","4","3",92,0.489130434782609
3,"3","5","5","4",71,0.436619718309859
3,"3","5","5","6",80,0.4625
3,"3","6","1","5",107,0.439252336448598
3,"3","6","2","4",101,0.514851485148515
3,"3","6","4","4",117,0.427350427350427
3,"3","6","5","5",131,0.465648854961832
3,"4","0","2","1",131,0.488549618320611
3,"4","0","3","2",162,0.475308641975309
